week,year,Pos,Team,H.A,Oppt,DKP,DKSalary,player
17,2014,RB,DAL,a,WAS,24.1,8800,DeMarco Murray
17,2014,RB,JAX,a,HOU,20.8,3100,Jordan Todman
17,2014,RB,SF,h,ARI,19.9,4500,Frank Gore
17,2014,RB,HOU,h,JAX,19.6,3000,Alfred Blue
17,2014,RB,CIN,a,PIT,19.4,4800,Giovani Bernard
17,2014,RB,BAL,h,CLE,18.6,6200,Justin Forsett
17,2014,RB,CLE,a,BAL,18.6,3000,Terrance West
17,2014,RB,SEA,h,STL,17.6,7300,Marshawn Lynch
17,2014,RB,GB,h,DET,17.6,6900,Eddie Lacy
17,2014,RB,CIN,a,PIT,16,6000,Jeremy Hill
17,2014,RB,PIT,h,CIN,16,9500,Le'Veon Bell
17,2014,RB,SDG,a,KC,15.5,3500,Branden Oliver
17,2014,RB,CHI,a,MIN,15.4,8500,Matt Forte
17,2014,RB,NYG,h,PHI,15.2,4800,Andre Williams
17,2014,RB,TB,h,NO,14.5,3000,Charles Sims
17,2014,RB,DET,a,GB,14.4,3000,Theo Riddick
17,2014,RB,DAL,a,WAS,14.2,4200,Joseph Randle
17,2014,RB,NO,a,TB,14.1,6500,Mark Ingram
17,2014,RB,TB,h,NO,13.8,3300,Doug Martin
17,2014,RB,LV,a,DEN,13.7,5000,Latavius Murray
17,2014,RB,MIN,h,CHI,12.8,5000,Matt Asiata
17,2014,RB,STL,a,SEA,12.7,3000,Benny Cunningham
17,2014,RB,PHI,a,NYG,12.4,6700,LeSean McCoy
17,2014,RB,WAS,h,DAL,12.3,3300,Roy Helu
17,2014,RB,NO,a,TB,11.7,3500,Khiry Robinson
17,2014,RB,SF,h,ARI,10.7,3000,Bruce Miller
17,2014,RB,NYJ,a,MIA,10.7,3600,Chris Ivory
17,2014,RB,BUF,a,NE,10.5,3000,Anthony Dixon
17,2014,RB,HOU,h,JAX,10.3,7900,Arian Foster
17,2014,RB,PHI,a,NYG,9.8,3000,Chris Polk
17,2014,RB,IND,a,TEN,9.6,4200,Dan Herron
17,2014,RB,TEN,h,IND,9.4,3500,Shonn Greene
17,2014,RB,ATL,h,CAR,9.3,3600,Jacquizz Rodgers
